Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
"D19"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"62.447mm"	,"-112.438mm"	,"62.447mm"	,"-112.438mm"	,"58.347mm"	,"-112.438mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D20"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"62.447mm"	,"-129.938mm"	,"62.447mm"	,"-129.938mm"	,"58.347mm"	,"-129.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D21"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"79.947mm"	,"-59.938mm"	,"79.947mm"	,"-59.938mm"	,"75.847mm"	,"-59.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D22"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"79.947mm"	,"-77.438mm"	,"79.947mm"	,"-77.438mm"	,"75.847mm"	,"-77.438mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D23"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"79.947mm"	,"-94.938mm"	,"79.947mm"	,"-94.938mm"	,"75.847mm"	,"-94.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D24"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"79.947mm"	,"-112.438mm"	,"79.947mm"	,"-112.438mm"	,"75.847mm"	,"-112.438mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D25"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"79.947mm"	,"-129.938mm"	,"79.947mm"	,"-129.938mm"	,"75.847mm"	,"-129.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D26"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"97.447mm"	,"-59.938mm"	,"97.447mm"	,"-59.938mm"	,"93.347mm"	,"-59.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D27"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"97.447mm"	,"-77.438mm"	,"97.447mm"	,"-77.438mm"	,"93.347mm"	,"-77.438mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D28"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"97.447mm"	,"-94.938mm"	,"97.447mm"	,"-94.938mm"	,"93.347mm"	,"-94.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
